x,cp
0.427630,1.8415999e-01
0.430820,1.8566000e-01
0.434020,1.8704000e-01
0.437230,1.8821999e-01
0.440450,1.8925001e-01
0.443680,1.9011000e-01
0.446920,1.9073001e-01
0.450170,1.9122000e-01
0.453430,1.9145000e-01
0.456700,1.9149999e-01
0.459970,1.9134000e-01
0.463260,1.9088000e-01
0.466550,1.9025999e-01
0.469850,1.8937001e-01
0.473170,1.8816000e-01
0.476480,1.8675999e-01
0.479810,1.8508001e-01
0.483150,1.8306001e-01
0.486490,1.8077999e-01
0.489840,1.7825000e-01
0.493190,1.7535999e-01
0.496560,1.7213000e-01
0.499930,1.6863000e-01
0.503310,1.6481000e-01
0.506690,1.6061001e-01
0.510080,1.5606000e-01
0.513480,1.5117000e-01
0.516880,1.4596000e-01
0.520290,1.4034000e-01
0.523700,1.3433000e-01
0.527120,1.2797000e-01
0.530550,1.2122000e-01
0.533980,1.1409000e-01
0.537420,1.0655000e-01
0.540860,9.8581001e-02
0.544310,9.0230003e-02
0.547760,8.1464998e-02
0.551220,7.2288997e-02
0.554680,6.2705003e-02
0.558150,5.2678999e-02
0.561620,4.2219002e-02
0.565100,3.1350002e-02
0.568580,2.0055000e-02
0.572070,8.3365999e-03
0.575570,-3.8079000e-03
0.579060,-1.6370000e-02
0.582570,-2.9354000e-02
0.586080,-4.2762998e-02
0.589590,-5.6579001e-02
0.593110,-7.0795000e-02
0.596630,-8.5406996e-02
0.600160,-1.0041000e-01
0.603700,-1.1578000e-01
0.607240,-1.3152000e-01
0.610790,-1.4760999e-01
0.614340,-1.6404000e-01
0.617900,-1.8077999e-01
0.621470,-1.9781999e-01
0.625040,-2.1513000e-01
0.628610,-2.3270001e-01
0.632200,-2.5048000e-01
0.635790,-2.6846999e-01
0.639380,-2.8661001e-01
0.642990,-3.0489001e-01
0.646600,-3.2326001e-01
0.650210,-3.4169000e-01
0.653830,-3.6012000e-01
0.657460,-3.7853000e-01
0.661100,-3.9686000e-01
0.664740,-4.1505000e-01
0.668390,-4.3307000e-01
0.672050,-4.5085999e-01
0.675710,-4.6836001e-01
0.679380,-4.8550999e-01
0.683050,-5.0226998e-01
0.686730,-5.1855999e-01
0.690420,-5.3433001e-01
0.694110,-5.4952002e-01
0.697810,-5.6409001e-01
0.701520,-5.7789999e-01
0.705220,-5.9088999e-01
0.708940,-6.0311002e-01
0.712660,-6.1443001e-01
0.716380,-6.2484002e-01
0.720100,-6.3426000e-01
0.723830,-6.4266998e-01
0.727570,-6.5000999e-01
0.731300,-6.5614003e-01
0.735040,-6.6113001e-01
0.738780,-6.6499001e-01
0.742520,-6.6766000e-01
0.746260,-6.6912001e-01
0.750000,-6.6944998e-01
0.753740,-6.6846001e-01
0.757480,-6.6618001e-01
0.761220,-6.6279000e-01
0.764960,-6.5821999e-01
0.768700,-6.5249997e-01
0.772430,-6.4569002e-01
0.776170,-6.3778001e-01
0.779900,-6.2874001e-01
0.783620,-6.1871999e-01
0.787340,-6.0777003e-01
0.791060,-5.9592998e-01
0.794780,-5.8326000e-01
0.798480,-5.6980002e-01
0.802190,-5.5566001e-01
0.805890,-5.4082000e-01
0.809580,-5.2534997e-01
0.813270,-5.0937998e-01
0.816950,-4.9294999e-01
0.820620,-4.7612000e-01
0.824290,-4.5895001e-01
0.827950,-4.4150999e-01
0.831610,-4.2383999e-01
0.835260,-4.0601000e-01
0.838900,-3.8808000e-01
0.842540,-3.7009001e-01
0.846170,-3.5209000e-01
0.849790,-3.3414000e-01
0.853400,-3.1628001e-01
0.857010,-2.9855001e-01
0.860620,-2.8097999e-01
0.864210,-2.6361999e-01
0.867800,-2.4650000e-01
0.871390,-2.2965001e-01
0.874960,-2.1309000e-01
0.878530,-1.9686000e-01
0.882100,-1.8096000e-01
0.885660,-1.6542000e-01
0.889210,-1.5026000e-01
0.892760,-1.3548000e-01
0.896300,-1.2111000e-01
0.899840,-1.0714000e-01
0.903370,-9.3584001e-02
0.906890,-8.0448002e-02
0.910410,-6.7734003e-02
0.913920,-5.5440001e-02
0.917430,-4.3563999e-02
0.920940,-3.2104999e-02
0.924430,-2.1063000e-02
0.927930,-1.0433000e-02
0.931420,-2.0477999e-04
0.934900,9.6270004e-03
0.938380,1.9071000e-02
0.941850,2.8128000e-02
0.945320,3.6821999e-02
0.948780,4.5148000e-02
0.952240,5.3103000e-02
0.955690,6.0720000e-02
0.959140,6.7994997e-02
0.962580,7.4936002e-02
0.966020,8.1566997e-02
0.969450,8.7881997e-02
0.972880,9.3869001e-02
